2020-05-04 09:30:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 09:30:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 10:00:13 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 10:00:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 10:30:13 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 10:30:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 11:00:13 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 11:00:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 11:30:13 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 11:30:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 12:00:13 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 12:00:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 12:30:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 12:30:22 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 13:00:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 13:00:22 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 13:30:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 13:30:22 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 14:00:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 14:00:22 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 14:30:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 14:30:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 15:00:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 15:00:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 15:30:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 15:30:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 16:00:12 Mon , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-04 16:00:23 Mon , ERROR , getNewsData.py getAllNews line 81 , error
